	English	Arabic	Chinese (Simplified)	Chinese (Traditional, Hong Kong SAR China)	Croatian	Danish	Dutch	Filipino	Finnish	French	German	Greek	Hebrew	Hindi	Hungarian	Indonesian	Italian	Japanese	Korean	Malay	Norwegian	Polish	Portuguese	Romanian	Russian	Serbian	Spanish	Swedish	Thai	Turkish	Ukrainian	Urdu	Vietnamese
DataConsentParagraph	Before playing our games, you'll need to agree to our Privacy Policy and Terms of Service	قبل أن تتمكن من الاستمتاع بألعابنا يجب الموافقة على شروط الخدمة وسياسة الخصوصية لدينا	在玩我们的游戏之前，您需要先同意我们的《隐私政策》和《服务条款》	在玩我們的遊戲之前，您需要同意我們的隱私權政策與服務條款	Prije nego što počnete igrati naše igre, trebate prihvatiti Pravila o zaštiti privatnosti i Uvjete pružanja usluge.	Før du kan spille vores spil, skal du acceptere vores privatlivspolitik og servicevilkår	Voordat je onze games speelt, moet je akkoord gaan met onze algemene voorwaarden en ons privacybeleid bevestigen	Bago maglaro ng aming mga game, kailangan mong sumang-ayon sa aming Patakaran sa Privacy at Mga Tuntunin ng Serbisyo		Avant de jouer à nos jeux, vous devez accepter notre politique de confidentialité et nos conditions d'utilisation.	Bevor du unsere Spiele spielen kannst, musst du unserer Datenschutzerklärung und unseren Nutzungsbedingungen zustimmen.	Προτού παίξεις τα παιχνίδια μας, πρέπει να συμφωνήσεις με την Πολιτική απορρήτου και τους Όρους χρήσης μας	לפני שתשחקו במשחקים שלנו, עליכם להסכים לתנאי השירות ולאשר את מדיניות הפרטיות	हमारे गेम खेलने से पहले, आपको हमारी निजता नीति और सेवा की शर्तों से सहमत होना चाहिए	Mielőtt a játékainkkal játszanál, el kell fogadnod Szolgáltatási feltételeinket és Adatvédelmi szabályzatunkat	Sebelum memainkan game kami, Anda harus menyetujui Kebijakan Privasi dan Persyaratan Layanan kami	Prima di utilizzare i nostri giochi, devi acconsentire alla nostra Informativa sulla privacy e ai nostri Termini di servizio.	ゲームをプレイする前に、プライバシーポリシーと利用規約に同意していただく必要があります	게임을 플레이하기 전에 서비스 약관과 개인정보 처리방침에 동의해야 합니다.	Sebelum bermain permainan kami, anda perlu bersetuju dengan Dasar Privasi dan Terma Perkhidmatan kami	Før du spiller spillene våre må du godta våre personvernsforskrifter og tjenestevilkår.	Przed zagraniem w nasze gry musisz zaakceptować Warunki świadczenia usług oraz Politykę prywatności	Antes de jogar nossos jogos, você precisa concordar com nossos Termos de Serviço e Política de Privacidade	Înainte de a juca jocurile noastre, trebuie să accepți Politica de confidențialitate şi Termenii de utilizare	Необходимо принять условия нашего Пользовательского соглашения и Политику конфиденциальности, чтобы начать играть.		Antes de jugar a nuestros juegos, tienes que aceptar nuestra Política de privacidad y nuestros Términos de servicio		ก่อนเล่นเกมของเรา คุณจะต้องยอมรับเงื่อนไขการใช้บริการและนโยบายความเป็นส่วนตัวของเรา	Oyunlarımızı oynamadan önce Gizlilik Politikamızı ve Hizmet Şartlarımızı kabul etmeniz gerekir	Перш ніж розпочати гру, вам потрібно погодитися з нашою Політикою конфіденційності та Умовами обслуговування	ہماری گیمز کھیلنے سے پہلے آپ کو ہماری رازداری کی پالیسی اور خدمت کی شرائط سے اتفاق کرنا ہو گا۔	Trước khi chơi các game của chúng tôi, bạn cần đồng ý với Chính sách Quyền riêng tư và Điều khoản Dịch vụ của chúng tôi
DataConsentCheck	By tapping the Confirm and Play button, you confirm that you are at least {3} years old and have read, understood and accepted {0} and {1} of {2}	بالضغط على زر "التأكيد واللعب" تقر بأن عمرك {3} عامًا على الأقل، وأنك قد قرأت واستوعبت وقبلت {0} و{1} الخاصة بـ {2}	点击“确认并游玩”按钮，即确认您已年满 {3} 周岁，且已阅读、理解并接受 《{2}》 的《{0}》和《{1}》	按下「確認並開始玩遊戲」的按鈕，您即確認您已年滿 {3} 歲並已閱讀、了解並接受 {2} 的{0}和{1}	Dodirom gumba Potvrdi i igraj potvrđujete da imate najmanje {3} godina te da ste pročitali, shvatili i da prihvaćate {0} i {1} društva {2}.	Ved at trykke på knappen Bekræft og spil bekræfter du, at du er mindst {3} år gammel og har læst, forstået og accepteret {0} og {1} af {2}	Door op de knop 'Bevestigen en spelen' te tikken, bevestig je dat je minimaal {3} jaar oud ben en het {0} en de {1} van {2} hebt gelezen, begrepen en geaccepteerd	Sa pag-tap ng Kumpirmahin at Maglaro na button, kinukumpirma mo na ikaw ay hindi bababa sa {3} na taong gulang at nabasa, nauunawaan at tinatanggap mo ang {0} at {1} ng {2}		En appuyant sur le bouton Confirmer et jouer, vous confirmez que vous avez au moins {3} ans et que vous avez lu, compris et accepté la {0} et les {1} de {2}.	Indem du auf "Bestätigen und spielen" klickst, bestätigst du, dass du mindestens {3} Jahre alt bist und die {0} und {1} von {2} gelesen, verstanden und akzeptiert hast.	Με το πάτημα του κουμπιού «Επιβεβαίωσε και παίξε» επιβεβαιώνεις ότι είσαι τουλάχιστον {3} ετών και ότι έχεις διαβάσει, κατανοήσει και αποδεχτεί την {0} και τους {1} της {2}	על-ידי הקשה על כפתור ה"אשרו ושחקו" אתם מאשרים שאתם בני {3} לפחות ושקראתם, הבנתם וקיבלתם את {0} {1} של {2}.	पुष्टि करें और खेलें बटन पर टैप करके, आप पुष्टि करते हैं कि आप कम से कम {3} साल के हैं और आपने {2} की {0} और {1} को पढ़, समझ और स्वीकार कर लिया है	A Megerősítés és játék gombra koppintva megerősíted, hogy elmúltál {3} éves, és elolvastad, megértetted és elfogadod a {2} {0}át és {1}	Dengan mengetuk tombol Konfirmasikan dan Main, Anda mengonfirmasi bahwa Anda berusia sedikitnya {3} tahun dan telah membaca, memahami, dan menyetujui {0} dan {1} {2}	Toccando il pulsante Conferma e gioca, confermi di avere almeno {3} anni e di aver letto, compreso e accettato l'{0} e i {1} di {2}	「確認してプレイする」ボタンをタップすることで、あなたは{3}歳以上であることを確認し、{2}の{0}と{1}を読み、理解し、同意したことになります	확인 및 플레이를 누르면 본인은 {3}세 이상이며, {2}의 {0} 및 {1}을 읽고 이해했으며 이에 동의합니다.	Dengan mengetik butang Sahkan dan Main, anda mengesahkan bahawa anda berumur sekurang-kurangnya {3} tahun dan telah membaca, memahami dan menerima {0} dan {1} {2}	Ved å trykke på Bekreft og spill-knappen, bekrefter du at du er minst {3} år gammel og har lest, forstått og godtar {0} and {1} of {2}.	Stukając przycisk „Potwierdź i zacznij grę”, potwierdzasz, że masz co najmniej {3} lat, a także zapoznałeś(-łaś) się z {1} i {0} {2} oraz rozumiesz je i akceptujesz.	Ao tocar no botão Confirmar e jogar, você confirma que tem pelo menos {3} anos e já leu, entendeu e aceitou os {1} e a {0} da {2}	Apăsând pe butoanele Confirmă şi Joacă, confirmi că ai cel puțin {3} ani şi că ai citit, înțeles şi acceptat {0} şi {1} ai companiei {2}	Нажимая «Подтвердить и начать», вы подтверждаете, что вам исполнилось {3} лет, соглашаетесь с {0} и принимаете условия {1} {2}.		Al tocar el botón de Confirmar y jugar, confirmas que tienes al menos {3} años y que has leído, entendido y aceptado la {0} y los {1} de {2}		เมื่อแตะปุ่มยืนยันและเล่นจะเป็นการยืนยันว่าคุณมีอายุมากกว่า {3} ปีและได้อ่าน ทำความเข้าใจและยอมรับ{1}และ{0}ของ {2}	Onayla ve Oyna butonuna basarak en az {3} yaşında olduğunuzu ve {2}'in {0}nı ve {1}nı okuduğunuzu, anladığınızı ve kabul ettiğinizi onaylamış olursunuz	Натиснувши «Підтвердити та грати», ви підтверджуєте, що вам не менше {3} років і ви ознайомилися, зрозуміли та прийняли {0} та {1} {2}	تصدیق کریں اور کھیلیں کے بٹن پر ٹیپ کرنے سے آپ تصدیق کرتے ہیں کہ آپ کی عمر کم از کم {3} سال ہے اور آپ نے {2} کی {0} اور {1} کو پڑھ اور سمجھ کر قبول کر لیا ہے۔	Bằng cách nhấn vào nút Xác nhận và chơi, bạn xác nhận rằng bạn được ít nhất {3} tuổi và đã đọc, hiểu và chấp nhận {0} và {1} của {2}
ConfirmAndPlay	Confirm and Play	التأكيد واللعب	确认并游玩	確認並開始玩遊戲	Potvrdi i igraj	Bekræft og spil	Bevestigen en spelen	Kumpirmahin at Maglaro		Confirmer et jouer	Bestätigen und spielen	Επιβεβαίωσε και παίξε	אשרו ושחקו	पुष्टि करें और खेलें	Megerősítés és játék	Konfirmasikan dan Main	Conferma e gioca	確認してプレイする	확인 및 플레이	Sahkan dan Main	Bekreft og spill	Potwierdź i zacznij grę	Confirmar e jogar	Confirmă şi joacă	Подтвердить и начать		Confirmar y jugar		ยืนยันและเล่น	Onayla ve Oyna	Підтвердити та грати	تصدیق کریں اور کھیلیں	Xác nhận và chơi
PrivacyPolicy	Privacy Policy	سياسة الخصوصية	隐私政策	隱私權政策	Pravila o zaštiti privatnosti	Privatlivspolitik	Privacybeleid	Patakaran sa Privacy		Politique de confidentialité	Datenschutzerklärung	Πολιτική απορρήτου	מדיניות פרטיות	निजता नीति	Adatvédelmi szabályzat	Kebijakan Privasi	Informativa sulla privacy	プライバシーポリシー	개인정보 처리방침	Dasar Privasi	Personvernsforskrifter	Polityka prywatności	Política de Privacidade	Politica de confidențialitate	Политика конфиденциальности		Política de privacidad		นโยบายความเป็นส่วนตัว	Gizlilik Politikası	Політика конфіденційності	رازداری کی پالیسی	Chính sách Quyền riêng tư
TermsOfService	Terms of Service	شروط الخدمة	服务条款	服務條款	Uvjeti pružanja usluge	Servicevilkår	Algemene voorwaarden	Mga Tuntunin ng Serbisyo		Conditions d'utilisation	Nutzungsbedingungen	Όροι χρήσης	תנאי שירות	सेवा की शर्तें	Szolgáltatási feltételek	Persyaratan Layanan	Termini di servizio	利用規約	서비스 약관	Terma Perkhidmatan	Tjenestevilkår	Warunki świadczenia usług	Termos de Serviço	Termenii de utilizare	Пользовательское соглашение		Términos de servicio		เงื่อนไขการใช้บริการ	Hizmet Şartları	Умови обслуговування	خدمت کی شرائط	Điều khoản Dịch vụ
ThanksForDownloading	Thanks for downloading	شكرًا على التنزيل	感谢下载	感謝下載	Hvala što ste preuzeli	Tak for at downloade	Bedankt voor het downloaden	Salamat sa pag-download		Merci d'avoir téléchargé	Danke fürs Herunterladen	Σε ευχαριστούμε που κατέβασες το παιχνίδι μας	תודה שהורדתם	डाउनलोड करने के लिए शुक्रिया	Köszönjük a letöltést	Terima kasih telah mengunduh	Grazie per il download	ダウンロードしてくれてありがとう	다운로드해주셔서 감사합니다	Terima kasih kerana memuat turun	Takk for nedlastingen	Dziękujemy za pobranie	Agradecemos o download	Îți mulțumim pentru descărcare	Спасибо за поддержку		Gracias por descargar		ขอบคุณสำหรับการดาวน์โหลด	İndirdiğiniz için teşekkürler	Дякуємо, що завантажили	ڈاؤنلوڈ کرنے کا شکریہ	Cảm ơn bạn đã tải về
DataConsentCheckPP	Privacy Policy	سياسة الخصوصية	隐私政策	隱私權政策	Pravila o zaštiti privatnosti	Privatlivspolitik	Privacybeleid	Patakaran sa Privacy		Politique de confidentialité	Datenschutzerklärung	Πολιτική απορρήτου	מדיניות הפרטיות	निजता नीति	Adatvédelmi szabályzat	Kebijakan Privasi	Informativa sulla privacy	プライバシーポリシー	개인정보 처리방침	Dasar Privasi	Personvernsforskrifter	Polityką prywatności	Política de Privacidade	Politica de confidențialitate	Политикой конфиденциальности		Política de privacidad		นโยบายความเป็นส่วนตัว	Gizlilik Politikası	Політику конфіденційності	رازداری کی پالیسی	Chính sách Quyền riêng tư
DataConsentCheckToS	Terms of Service	شروط الخدمة	服务条款	服務條款	Uvjete pružanja usluge	Servicevilkår	Algemene voorwaarden	Mga Tuntunin ng Serbisyo		Conditions d'utilisation	Nutzungsbedingungen	Όρους χρήσης	ותנאי השירות	सेवा की शर्तों	Szolgáltatási feltételeit	Persyaratan Layanan	Termini di servizio	利用規約	서비스 약관	Terma Perkhidmatan	Tjenestevilkår	Warunkami świadczenia usług	Termos de Serviço	Termenii de utilizare	Пользовательского соглашения		Términos de servicio		เงื่อนไขการใช้บริการ	Hizmet Şartları	Умови обслуговування	خدمت کی شرائط	Điều khoản Dịch vụ
NativeConsentCheck	Please press "OK" to agree and start using our app.	يُرجى الضغط على "موافق" للقبول والبدء في استخدام تطبيقنا.	请按“确定”同意并开始使用我们的应用。	請按「確定」同意並開始使用我們的應用程式。			Druk op Oké om akkoord te gaan en onze app te gebruiken.			Appuyez sur « OK » et commencez à utiliser notre appli.	Bitte drücke „OK“, um zuzustimmen und unsere App zu nutzen.	Πάτησε «OK» για να συμφωνήσεις και να αρχίσεις να χρησιμοποιείς την εφαρμογή μας.	נא לחצו על "אישור" כדי להסכים והתחילו להשתמש באפליקציה.	सहमत होने और हमारे ऐप का उपयोग शुरू करने के लिए कृपया "ठीक है" दबाएं.		Silakan tekan "Oke" untuk menyetujui dan mulai menggunakan aplikasi kami.	Premi OK per accettare e iniziare a usare l'app.	「OK」を押して同意し、アプリの使用を開始してください。	"확인"을 누르면 동의하고 앱을 사용합니다.	Sila tekan "OK" untuk bersetuju dan menggunakan aplikasi kami.		Naciśnij przycisk OK, aby wyrazić zgodę i zacząć korzystać z aplikacji.	Aperte "OK" para concordar e começar a usar nosso aplicativo.		Нажми «ОК», чтобы принять и начать играть.		Pulsa "Aceptar" para aceptar y empezar a usar nuestra aplicación.		กด "ตกลง" เพื่อยอมรับแล้วเริ่มใช้งานแอป	Kabul etmek için "Tamam"a bas ve uygulamamızı kullanmaya başla.			Vui lòng nhấn "OK" để đồng ý và bắt đầu dùng ứng dụng của chúng tôi.
NativeConsentParagraph	To use "{0}" please agree to our {1} and {2}. User privacy is important to us.	عليك قبول {1} و{2} للتمكن من استخدام "{0}". خصوصية المستخدم تهمنا.	若要使用“{0}”，必须同意我们的《{1}》和《{2}》。我们非常重视用户的隐私。	要使用「{0}」，您必須同意我們的{1}和{2}。使用者隱私對我們來說至關重要。			Als je '{0}' wilt spelen, moet je akkoord gaan met ons {1} en onze {2}. We vinden privacy van onze spelers erg belangrijk.			Afin d'utiliser « {0} », vous devez accepter notre {1} et nos {2}. La confidentialité de nos utilisateurs nous importe.	Um „{0}“ zu nutzen, musst du unserer {1} und unseren {2} zustimmen. Die Privatsphäre der Nutzer ist uns wichtig.	Για να χρησιμοποιήσεις το «{0}», πρέπει να συμφωνήσεις με ότι προβλέπουν η {1} και οι {2} μας. Το απόρρητο των χρηστών είναι σημαντικό για εμάς!	כדי להשתמש ב-{0} יש להסכים ל-{1} ול-{2} שלנו. פרטיות המשתמש חשובה לנו מאוד.	"{0}" का उपयोग करने के लिए आपको हमारी {1} और {2} से सहमत होना होगा. यूज़र की निजता हमारे लिए महत्वपूर्ण है.	A(z) „{0}” játék használatához el kell fogadnod ezeket: {1} és {2}. Felhasználóink adatainak védelme fontos a számunkra.	Untuk menggunakan "{0}", Anda harus menyetujui {1} dan {2} kami. Privasi pengguna penting bagi kami.	Per usare {0}, devi accettare {1} e {2}. Abbiamo a cuore la privacy degli utenti.	『{0}』をプレイするには、{1}と{2}に同意する必要があります。弊社にとってユーザープライバシーは重要なものです。	"{0}" 사용을 위해 {1} 및 {2} 동의가 필요합니다. 우리는 사용자의 개인정보를 중시합니다.	Untuk menggunakan "{0}" anda perlu bersetuju dengan {1} dan {2} kami. Privasi pengguna amat penting buat kami.		Aby zagrać w „{0}” musisz przedtem wyrazić zgodę na postanowienia dokumentów {1} i {2}. Prywatność użytkowników jest dla na ważna.	Para usar "{0}", você precisa concordar com nossa {1} e {2}. A privacidade dos usuários é importante para nós.	Pentru a folosi „{0}”, trebuie să accepți mai întâi {1} și {2}. Confidențialitatea utilizatorilor este importantă pentru noi.	Чтобы играть в {0}, необходимо принять наши условия: {1} и {2}. Мы ценим твою конфиденциальность.		Para usar "{0}", debes aceptar nuestra {1} y nuestros {2}. Nos importa la privacidad de los usuarios.		คุณต้องยอมรับ{1}และ{2}ของเราเพื่อใช้งาน "{0}" ความเป็นส่วนตัวของผู้ใช้มีความสำคัญกับเรา	"{0}" kullanmak için {1} ve {2} kabul edilmelidir. Kullanıcının gizliliği bizim için önemlidir.		{0} استعمال کرنے کے لئے ہمارے {1} اور {2} سے اتفاق کرنا ضروری ہے۔ صارف کی رازداری ہمارے لئے اہم ہے۔	Để sử dụng "{0}" bạn phải đồng ý với {1} và {2} của chúng tôi. Quyền riêng tư của người dùng có ý nghĩa rất quan trọng đối với chúng tôi.NativeConsentParagraph	To use "{0}" you must agree to our {1} and {2}. User privacy is important to us.	عليك قبول {1} و{2} للتمكن من استخدام "{0}". خصوصية المستخدم تهمنا.	若要使用“{0}”，必须同意我们的《{1}》和《{2}》。我们非常重视用户的隐私。	要使用「{0}」，您必須同意我們的{1}和{2}。使用者隱私對我們來說至關重要。			Als je '{0}' wilt spelen, moet je akkoord gaan met ons {1} en onze {2}. We vinden privacy van onze spelers erg belangrijk.			Afin d'utiliser « {0} », vous devez accepter notre {1} et nos {2}. La confidentialité de nos utilisateurs nous importe.	Um „{0}“ zu nutzen, musst du unserer {1} und unseren {2} zustimmen. Die Privatsphäre der Nutzer ist uns wichtig.	Για να χρησιμοποιήσεις το «{0}», πρέπει να συμφωνήσεις με ότι προβλέπουν η {1} και οι {2} μας. Το απόρρητο των χρηστών είναι σημαντικό για εμάς!	כדי להשתמש ב-{0} יש להסכים ל-{1} ול-{2} שלנו. פרטיות המשתמש חשובה לנו מאוד.	"{0}" का उपयोग करने के लिए आपको हमारी {1} और {2} से सहमत होना होगा. यूज़र की निजता हमारे लिए महत्वपूर्ण है.		Untuk menggunakan "{0}", Anda harus menyetujui {1} dan {2} kami. Privasi pengguna penting bagi kami.	Per usare {0}, devi accettare {1} e {2}. Abbiamo a cuore la privacy degli utenti.	『{0}』をプレイするには、{1}と{2}に同意する必要があります。弊社にとってユーザープライバシーは重要なものです。	"{0}" 사용을 위해 {1} 및 {2} 동의가 필요합니다. 우리는 사용자의 개인정보를 중시합니다.	Untuk menggunakan "{0}" anda perlu bersetuju dengan {1} dan {2} kami. Privasi pengguna amat penting buat kami.		Aby zagrać w „{0}” musisz przedtem wyrazić zgodę na postanowienia dokumentów {1} i {2}. Prywatność użytkowników jest dla na ważna.	Para usar "{0}", você precisa concordar com nossa {1} e {2}. A privacidade dos usuários é importante para nós.		Чтобы играть в {0}, необходимо принять наши условия: {1} и {2}. Мы ценим твою конфиденциальность.		Para usar "{0}", debes aceptar nuestra {1} y nuestros {2}. Nos importa la privacidad de los usuarios.		คุณต้องยอมรับ{1}และ{2}ของเราเพื่อใช้งาน "{0}" ความเป็นส่วนตัวของผู้ใช้มีความสำคัญกับเรา	"{0}" kullanmak için {1} ve {2} kabul edilmelidir. Kullanıcının gizliliği bizim için önemlidir.			Để sử dụng "{0}" bạn phải đồng ý với {1} và {2} của chúng tôi. Quyền riêng tư của người dùng có ý nghĩa rất quan trọng đối với chúng tôi.
OK	OK	موافق	确定	確定			Oké			OK	OK	ΟΚ	אישור	ठीक है		Oke	OK	OK	확인	OK		OK	OK		ОК		Aceptar		ตกลง	Tamam			OK